time[s],iL[A],v out[V]
2.011836739256978,-0.11811702698469162,0.6749723553657532
2.0122448913753033,-0.11866794526576996,0.6747889518737793
2.0126530434936285,-0.11921872198581696,0.6746047735214233
2.0130611956119537,-0.11976934224367142,0.6744197607040405
2.013469347730279,-0.12031981348991394,0.6742339730262756
2.013877499848604,-0.12087012827396393,0.6740473508834839
2.0142856519669294,-0.12142030149698257,0.6738599538803101
2.0146938040852547,-0.12197031080722809,0.6736717224121094
2.01510195620358,-0.12252017110586166,0.6734827160835266
2.015510108321905,-0.1230698749423027,0.673292875289917
2.0159182604402304,-0.12361942231655121,0.6731022000312805
2.0163266453891993,-0.12416881322860718,0.672910749912262
2.0167347975075245,-0.12471805512905121,0.6727184653282166
2.0171429496258497,-0.1252671331167221,0.6725253462791443
2.017551101744175,-0.12581604719161987,0.6723314523696899
2.0179592538625,-0.1263648122549057,0.6721367239952087
2.0183674059808254,-0.1269134134054184,0.6719412207603455
2.0187755580991507,-0.12746186554431915,0.6717448234558105
2.019183710217476,-0.12801013886928558,0.6715476512908936
2.019591862335801,-0.12855826318264008,0.6713497042655945
2.0200000144541264,-0.12910622358322144,0.6711508631706238
2.0204000174999237,-0.12964306771755219,0.6709553003311157
2.020800020545721,-0.1301797479391098,0.6707591414451599
2.0212000235915184,-0.13071627914905548,0.6705622673034668
2.0216000266373158,-0.13125264644622803,0.6703647971153259
2.022000029683113,-0.13178886473178864,0.6701667308807373
2.0224000327289104,-0.1323249191045761,0.6699679493904114
2.022800035774708,-0.13286080956459045,0.6697685718536377
2.023200038820505,-0.13339655101299286,0.6695685386657715
2.0236000418663025,-0.13393212854862213,0.6693679094314575
2.0240000449121,-0.13446754217147827,0.669166624546051
2.024400047957897,-0.13500279188156128,0.668964684009552
2.0248000510036945,-0.13553787767887115,0.6687620878219604
2.025200054049492,-0.1360728144645691,0.6685588955879211
2.0256000570952892,-0.1366075724363327,0.6683550477027893
2.0260000601410866,-0.13714218139648438,0.6681506037712097
2.026400063186884,-0.13767661154270172,0.6679454445838928
2.0268000662326813,-0.13821089267730713,0.6677396893501282
2.0272000692784786,-0.1387449949979782,0.6675333380699158
2.027600072324276,-0.13927894830703735,0.6673262715339661
2.0280000753700733,-0.13981272280216217,0.6671186089515686
2.0284000784158707,-0.14034633338451385,0.6669103503227234
2.028800081461668,-0.1408797800540924,0.6667014360427856
2.0292000845074654,-0.14141304790973663,0.6664918661117554
2.0296000875532627,-0.14194616675376892,0.6662816405296326
2.03000009059906,-0.12560229003429413,0.6660729646682739
2.0304000936448574,-0.1092582568526268,0.6659002900123596
2.0308000966906548,-0.10979091376066208,0.6657291054725647
2.031200099736452,-0.11032342165708542,0.6655572652816772
2.0316001027822495,-0.11085580289363861,0.665384829044342
2.032000105828047,-0.11138804256916046,0.6652116775512695
2.032400108873844,-0.11192014068365097,0.665037989616394
2.0328001119196415,-0.11245210468769073,0.6648635864257812
2.033200114965439,-0.11298391968011856,0.6646885871887207
2.0335998851805925,-0.11351560056209564,0.6645129919052124
2.03399988822639,-0.11404713988304138,0.6643367409706116
2.0343998912721872,-0.11457854509353638,0.6641598343849182
2.0347998943179846,-0.11510980129241943,0.6639822721481323
2.035199897363782,-0.11564091593027115,0.6638041138648987
2.0355999004095793,-0.11617188155651093,0.6636252999305725
2.0359999034553766,-0.11670271307229996,0.6634458899497986
2.036399906501174,-0.11723339557647705,0.6632658243179321
2.0367999095469713,-0.1177639365196228,0.6630851030349731
2.0371999125927687,-0.11829433590173721,0.6629037857055664
2.037599915638566,-0.11882458627223969,0.6627218127250671
2.0379999186843634,-0.11935468763113022,0.6625391840934753
2.0383999217301607,-0.11988464742898941,0.6623559594154358
2.038799924775958,-0.12041445821523666,0.6621721386909485
2.0391999278217554,-0.12094411998987198,0.6619876027107239
2.0395999308675528,-0.12147364020347595,0.6618024706840515
2.03999993391335,-0.12200300395488739,0.6616167426109314
2.0403999369591475,-0.12253222614526749,0.6614303588867188
2.040799940004945,-0.12306129187345505,0.6612433195114136
2.041199943050742,-0.12359020859003067,0.6610556840896606
2.0415999460965395,-0.12411898374557495,0.6608673930168152
2.041999949142337,-0.1246476024389267,0.660678505897522
2.042399952188134,-0.1251760721206665,0.6604889631271362
2.0427999552339315,-0.12570437788963318,0.6602988243103027
2.043199958279729,-0.1262325495481491,0.6601080298423767
2.0435999613255262,-0.1267605572938919,0.6599165797233582
2.0439999643713236,-0.12728841602802277,0.6597245335578918
2.044399967417121,-0.1278161108493805,0.659531831741333
2.0447999704629183,-0.12834365665912628,0.6593385338783264
2.0451999735087156,-0.12887105345726013,0.6591445803642273
2.045599976554513,-0.12939828634262085,0.6589500308036804
2.0459999796003103,-0.12992537021636963,0.658754825592041
2.0463999826461077,-0.13045230507850647,0.6585590243339539
2.046799985691905,-0.13097907602787018,0.6583625674247742
2.0471999887377024,-0.13150568306446075,0.658165454864502
2.0475999917834997,-0.1320321410894394,0.6579678058624268
2.047999994829297,-0.1325584352016449,0.6577694416046143
2.0483999978750944,-0.13308456540107727,0.657570481300354
2.0488000009208918,-0.1336105465888977,0.657370924949646
2.049200003966689,-0.134136363863945,0.6571707129478455
2.0496000070124865,-0.13466201722621918,0.6569698452949524
2.050000010058284,-0.118449866771698,0.6567705273628235
2.050400013104081,-0.10223758220672607,0.656606912612915
2.0508000161498785,-0.10276280343532562,0.656444787979126
2.051200019195676,-0.10328789055347443,0.6562820076942444
2.051600022241473,-0.10381285101175308,0.656118631362915
2.0520000252872705,-0.10433768481016159,0.6559545993804932
2.052400028333068,-0.10486237704753876,0.6557899713516235
2.0528000313788652,-0.10538694262504578,0.6556246876716614
2.0532000344246626,-0.10591138154268265,0.6554587483406067
2.05360003747046,-0.10643567889928818,0.655292272567749
2.0540000405162573,-0.10695984959602356,0.655125081539154
2.0544000435620546,-0.1074838787317276,0.6549573540687561
2.054800046607852,-0.10800778120756149,0.6547889113426208
2.0552000496536493,-0.10853154212236404,0.6546198725700378
2.0556000526994467,-0.10905516892671585,0.6544502377510071
2.056000055745244,-0.10957866162061691,0.6542799472808838
2.0564000587910414,-0.11010202020406723,0.6541090607643127
2.0568000618368387,-0.1106252372264862,0.653937578201294
